Probando para N = 2^21
create time CP = 82393 ms

Results
query = (0.583828,0.720634), 0.02			|	time ss = 0 ms	|	counter ss = 0	|	time cp = 69 ms		|	counter cp = 5711	|	cp_search: 2558 ss_search: 0
query = (0.0860012,0.130024), 0.02			|	time ss = 0 ms	|	counter ss = 0	|	time cp = 23 ms		|	counter cp = 1793	|	cp_search: 2211 ss_search: 0
query = (0.111042,0.547258), 0.02			|	time ss = 0 ms	|	counter ss = 0	|	time cp = 38 ms		|	counter cp = 3395	|	cp_search: 1422 ss_search: 0
query = (0.131071,0.309794), 0.02			|	time ss = 0 ms	|	counter ss = 0	|	time cp = 32 ms		|	counter cp = 2851	|	cp_search: 914 ss_search: 0
query = (0.829671,0.274593), 0.02			|	time ss = 0 ms	|	counter ss = 0	|	time cp = 47 ms		|	counter cp = 3759	|	cp_search: 2528 ss_search: 0
query = (0.741306,0.28838), 0.02			|	time ss = 0 ms	|	counter ss = 0	|	time cp = 50 ms		|	counter cp = 4417	|	cp_search: 918 ss_search: 0
query = (0.149295,0.167588), 0.02			|	time ss = 0 ms	|	counter ss = 0	|	time cp = 27 ms		|	counter cp = 2321	|	cp_search: 1312 ss_search: 0
query = (0.210085,0.325782), 0.02			|	time ss = 0 ms	|	counter ss = 0	|	time cp = 50 ms		|	counter cp = 4353	|	cp_search: 1578 ss_search: 0
query = (0.17521,0.88202), 0.02				|	time ss = 0 ms	|	counter ss = 0	|	time cp = 28 ms		|	counter cp = 2174	|	cp_search: 2238 ss_search: 0
query = (0.380108,0.0668909), 0.02			|	time ss = 0 ms	|	counter ss = 0	|	time cp = 36 ms		|	counter cp = 2844	|	cp_search: 2643 ss_search: 0
query = (0.696407,0.291328), 0.02			|	time ss = 0 ms	|	counter ss = 0	|	time cp = 57 ms		|	counter cp = 4762	|	cp_search: 2595 ss_search: 0
query = (0.502838,0.752102), 0.02			|	time ss = 0 ms	|	counter ss = 0	|	time cp = 61 ms		|	counter cp = 5190	|	cp_search: 2402 ss_search: 0
query = (0.579309,0.819664), 0.02			|	time ss = 0 ms	|	counter ss = 0	|	time cp = 51 ms		|	counter cp = 4239	|	cp_search: 1889 ss_search: 0
query = (0.985785,0.133006), 0.02			|	time ss = 0 ms	|	counter ss = 0	|	time cp = 21 ms		|	counter cp = 1597	|	cp_search: 2133 ss_search: 0
query = (0.680903,0.820364), 0.02			|	time ss = 0 ms	|	counter ss = 0	|	time cp = 48 ms		|	counter cp = 4059	|	cp_search: 1626 ss_search: 0
query = (0.0603495,0.556849), 0.02			|	time ss = 0 ms	|	counter ss = 0	|	time cp = 34 ms		|	counter cp = 2978	|	cp_search: 1530 ss_search: 0
query = (0.696424,0.0533529), 0.02			|	time ss = 0 ms	|	counter ss = 0	|	time cp = 32 ms		|	counter cp = 2442	|	cp_search: 2196 ss_search: 0
query = (0.938298,0.736396), 0.02			|	time ss = 0 ms	|	counter ss = 0	|	time cp = 21 ms		|	counter cp = 1709	|	cp_search: 954 ss_search: 0
query = (0.0459245,0.597843), 0.02			|	time ss = 0 ms	|	counter ss = 0	|	time cp = 44 ms		|	counter cp = 2877	|	cp_search: 2620 ss_search: 0
query = (0.894674,0.397498), 0.02			|	time ss = 0 ms	|	counter ss = 0	|	time cp = 81 ms		|	counter cp = 3546	|	cp_search: 2527 ss_search: 0
query = (0.0842801,0.501093), 0.02			|	time ss = 0 ms	|	counter ss = 0	|	time cp = 51 ms		|	counter cp = 3110	|	cp_search: 1031 ss_search: 0
query = (0.386938,0.725003), 0.02			|	time ss = 0 ms	|	counter ss = 0	|	time cp = 81 ms		|	counter cp = 4645	|	cp_search: 1666 ss_search: 0
query = (0.5765,0.146652), 0.02				|	time ss = 0 ms	|	counter ss = 0	|	time cp = 80 ms		|	counter cp = 4196	|	cp_search: 2678 ss_search: 0
query = (0.945778,0.758972), 0.02			|	time ss = 0 ms	|	counter ss = 0	|	time cp = 32 ms		|	counter cp = 1606	|	cp_search: 1196 ss_search: 0
query = (0.512549,0.0796749), 0.02			|	time ss = 0 ms	|	counter ss = 0	|	time cp = 77 ms		|	counter cp = 3733	|	cp_search: 2517 ss_search: 0
query = (0.681668,0.373654), 0.02			|	time ss = 0 ms	|	counter ss = 0	|	time cp = 77 ms		|	counter cp = 5438	|	cp_search: 2400 ss_search: 0
query = (0.84722,0.933762), 0.02			|	time ss = 0 ms	|	counter ss = 0	|	time cp = 26 ms		|	counter cp = 1725	|	cp_search: 2572 ss_search: 0
query = (0.46605,0.956152), 0.02			|	time ss = 0 ms	|	counter ss = 0	|	time cp = 37 ms		|	counter cp = 2791	|	cp_search: 2001 ss_search: 0
query = (0.850381,0.11061), 0.02			|	time ss = 0 ms	|	counter ss = 0	|	time cp = 33 ms		|	counter cp = 2468	|	cp_search: 2226 ss_search: 0
query = (0.912213,0.735266), 0.02			|	time ss = 0 ms	|	counter ss = 0	|	time cp = 24 ms		|	counter cp = 1871	|	cp_search: 1163 ss_search: 0
query = (0.44299,0.520173), 0.02			|	time ss = 0 ms	|	counter ss = 0	|	time cp = 92 ms		|	counter cp = 6924	|	cp_search: 2688 ss_search: 0
query = (0.263277,0.961775), 0.02			|	time ss = 0 ms	|	counter ss = 0	|	time cp = 25 ms		|	counter cp = 1897	|	cp_search: 2288 ss_search: 0
query = (0.795114,0.212772), 0.02			|	time ss = 0 ms	|	counter ss = 0	|	time cp = 41 ms		|	counter cp = 3326	|	cp_search: 215 ss_search: 0
query = (0.778615,0.282127), 0.02			|	time ss = 0 ms	|	counter ss = 0	|	time cp = 47 ms		|	counter cp = 4016	|	cp_search: 1273 ss_search: 0
query = (0.608504,0.235756), 0.02			|	time ss = 0 ms	|	counter ss = 0	|	time cp = 59 ms		|	counter cp = 4857	|	cp_search: 2597 ss_search: 0
query = (0.87142,0.450381), 0.02			|	time ss = 0 ms	|	counter ss = 0	|	time cp = 49 ms		|	counter cp = 3886	|	cp_search: 2647 ss_search: 0
query = (0.987573,0.0108715), 0.02			|	time ss = 0 ms	|	counter ss = 0	|	time cp = 10 ms		|	counter cp = 767	|	cp_search: 737 ss_search: 0
query = (0.59507,0.0944276), 0.02			|	time ss = 0 ms	|	counter ss = 0	|	time cp = 48 ms		|	counter cp = 3637	|	cp_search: 2377 ss_search: 0
query = (0.905339,0.0662537), 0.02			|	time ss = 0 ms	|	counter ss = 0	|	time cp = 23 ms		|	counter cp = 1812	|	cp_search: 1617 ss_search: 0
query = (0.874954,0.0482009), 0.02			|	time ss = 0 ms	|	counter ss = 0	|	time cp = 23 ms		|	counter cp = 1737	|	cp_search: 1679 ss_search: 0
query = (0.949873,0.304429), 0.02			|	time ss = 0 ms	|	counter ss = 0	|	time cp = 37 ms		|	counter cp = 2668	|	cp_search: 496 ss_search: 0
query = (0.406867,0.944331), 0.02			|	time ss = 0 ms	|	counter ss = 0	|	time cp = 37 ms		|	counter cp = 2695	|	cp_search: 1947 ss_search: 0
