Probando para N = 2^10
create time SS = 78063 ms

create time CP = 1 ms

Results
query = (0.0731966,0.147168), 0.02			|	time ss = 0 ms	|	counter ss = 2	|	time cp = 0 ms		|	counter cp = 11	|	cp_search: 2 ss_search: 2
query = (0.0827539,0.147671), 0.02			|	time ss = 0 ms	|	counter ss = 2	|	time cp = 0 ms		|	counter cp = 11	|	cp_search: 3 ss_search: 3
query = (0.743928,0.494152), 0.02			|	time ss = 0 ms	|	counter ss = 4	|	time cp = 0 ms		|	counter cp = 11	|	cp_search: 2 ss_search: 2
query = (0.454271,0.146463), 0.02			|	time ss = 0 ms	|	counter ss = 2	|	time cp = 0 ms		|	counter cp = 13	|	cp_search: 3 ss_search: 3
query = (0.865354,0.42105), 0.02			|	time ss = 0 ms	|	counter ss = 3	|	time cp = 0 ms		|	counter cp = 10	|	cp_search: 1 ss_search: 1
query = (0.735261,0.543867), 0.02			|	time ss = 0 ms	|	counter ss = 3	|	time cp = 0 ms		|	counter cp = 11	|	cp_search: 2 ss_search: 2
query = (0.52955,0.569903), 0.02			|	time ss = 0 ms	|	counter ss = 2	|	time cp = 0 ms		|	counter cp = 12	|	cp_search: 0 ss_search: 0
query = (0.754198,0.67735), 0.02			|	time ss = 0 ms	|	counter ss = 4	|	time cp = 0 ms		|	counter cp = 10	|	cp_search: 1 ss_search: 1
query = (0.951085,0.575454), 0.02			|	time ss = 0 ms	|	counter ss = 2	|	time cp = 0 ms		|	counter cp = 9	|	cp_search: 1 ss_search: 1
query = (0.645532,0.661865), 0.02			|	time ss = 0 ms	|	counter ss = 3	|	time cp = 0 ms		|	counter cp = 11	|	cp_search: 0 ss_search: 0
query = (0.895296,0.587603), 0.02			|	time ss = 0 ms	|	counter ss = 2	|	time cp = 0 ms		|	counter cp = 10	|	cp_search: 2 ss_search: 2
query = (0.168195,0.148528), 0.02			|	time ss = 0 ms	|	counter ss = 3	|	time cp = 0 ms		|	counter cp = 12	|	cp_search: 2 ss_search: 2
