Probando para N = 2^10
create time CP = 4 ms

create time SS = 46383 ms

Results
query = (0.444497,0.725943), 0.2			|	time ss = 0 ms	|	counter ss = 6	|	time cp = 0 ms		|	counter cp = 10
query = (0.812932,0.633031), 0.2			|	time ss = 0 ms	|	counter ss = 4	|	time cp = 0 ms		|	counter cp = 9
query = (0.760858,0.717121), 0.2			|	time ss = 0 ms	|	counter ss = 5	|	time cp = 0 ms		|	counter cp = 9
query = (0.608074,0.399112), 0.2			|	time ss = 0 ms	|	counter ss = 7	|	time cp = 0 ms		|	counter cp = 10
query = (0.960498,0.644862), 0.2			|	time ss = 0 ms	|	counter ss = 4	|	time cp = 0 ms		|	counter cp = 9
query = (0.362228,0.956727), 0.2			|	time ss = 0 ms	|	counter ss = 4	|	time cp = 0 ms		|	counter cp = 10
query = (0.751893,0.00523195), 0.2			|	time ss = 0 ms	|	counter ss = 4	|	time cp = 0 ms		|	counter cp = 9
query = (0.53959,0.710624), 0.2				|	time ss = 0 ms	|	counter ss = 7	|	time cp = 0 ms		|	counter cp = 10
query = (0.47491,0.340304), 0.2				|	time ss = 0 ms	|	counter ss = 7	|	time cp = 0 ms		|	counter cp = 10
query = (0.885584,0.201743), 0.2			|	time ss = 0 ms	|	counter ss = 5	|	time cp = 0 ms		|	counter cp = 10
query = (0.122354,0.783327), 0.2			|	time ss = 0 ms	|	counter ss = 6	|	time cp = 0 ms		|	counter cp = 10
query = (0.319672,0.774469), 0.2			|	time ss = 0 ms	|	counter ss = 7	|	time cp = 0 ms		|	counter cp = 10
query = (0.930947,0.702548), 0.2			|	time ss = 0 ms	|	counter ss = 4	|	time cp = 0 ms		|	counter cp = 9
query = (0.72019,0.0533271), 0.2			|	time ss = 0 ms	|	counter ss = 5	|	time cp = 0 ms		|	counter cp = 10
query = (0.811468,0.678333), 0.2			|	time ss = 0 ms	|	counter ss = 4	|	time cp = 0 ms		|	counter cp = 9
query = (0.60473,0.855001), 0.2				|	time ss = 0 ms	|	counter ss = 5	|	time cp = 0 ms		|	counter cp = 9
query = (0.2443,0.713235), 0.2				|	time ss = 0 ms	|	counter ss = 7	|	time cp = 0 ms		|	counter cp = 10
query = (0.936695,0.511536), 0.2			|	time ss = 0 ms	|	counter ss = 4	|	time cp = 0 ms		|	counter cp = 9
query = (0.882966,0.18244), 0.2				|	time ss = 0 ms	|	counter ss = 5	|	time cp = 0 ms		|	counter cp = 10
query = (0.331654,0.206622), 0.2			|	time ss = 0 ms	|	counter ss = 5	|	time cp = 0 ms		|	counter cp = 10
query = (0.408031,0.785069), 0.2			|	time ss = 0 ms	|	counter ss = 6	|	time cp = 0 ms		|	counter cp = 10
query = (0.113086,0.955167), 0.2			|	time ss = 0 ms	|	counter ss = 4	|	time cp = 0 ms		|	counter cp = 9
query = (0.0907411,0.587303), 0.2			|	time ss = 0 ms	|	counter ss = 6	|	time cp = 0 ms		|	counter cp = 10
query = (0.227683,0.318678), 0.2			|	time ss = 0 ms	|	counter ss = 7	|	time cp = 0 ms		|	counter cp = 10
query = (0.306362,0.271178), 0.2			|	time ss = 0 ms	|	counter ss = 6	|	time cp = 0 ms		|	counter cp = 10
query = (0.871792,0.460433), 0.2			|	time ss = 0 ms	|	counter ss = 7	|	time cp = 0 ms		|	counter cp = 10
query = (0.122922,0.783883), 0.2			|	time ss = 0 ms	|	counter ss = 6	|	time cp = 0 ms		|	counter cp = 10
query = (0.236678,0.198224), 0.2			|	time ss = 0 ms	|	counter ss = 5	|	time cp = 0 ms		|	counter cp = 10
query = (0.667093,0.944577), 0.2			|	time ss = 0 ms	|	counter ss = 4	|	time cp = 0 ms		|	counter cp = 9
query = (0.0555677,0.680598), 0.2			|	time ss = 0 ms	|	counter ss = 6	|	time cp = 0 ms		|	counter cp = 10
query = (0.359717,0.591104), 0.2			|	time ss = 0 ms	|	counter ss = 6	|	time cp = 0 ms		|	counter cp = 10
query = (0.220121,0.432274), 0.2			|	time ss = 0 ms	|	counter ss = 6	|	time cp = 0 ms		|	counter cp = 10
query = (0.533743,0.305301), 0.2			|	time ss = 0 ms	|	counter ss = 7	|	time cp = 0 ms		|	counter cp = 10
query = (0.72236,0.807953), 0.2				|	time ss = 0 ms	|	counter ss = 5	|	time cp = 0 ms		|	counter cp = 9
query = (0.563175,0.41431), 0.2				|	time ss = 0 ms	|	counter ss = 6	|	time cp = 0 ms		|	counter cp = 10
query = (0.679067,0.433795), 0.2			|	time ss = 0 ms	|	counter ss = 7	|	time cp = 0 ms		|	counter cp = 10
query = (0.243473,0.566597), 0.2			|	time ss = 0 ms	|	counter ss = 7	|	time cp = 0 ms		|	counter cp = 10
query = (0.102568,0.304851), 0.2			|	time ss = 0 ms	|	counter ss = 4	|	time cp = 0 ms		|	counter cp = 10
query = (0.675872,0.135267), 0.2			|	time ss = 0 ms	|	counter ss = 5	|	time cp = 0 ms		|	counter cp = 10
query = (0.467858,0.914712), 0.2			|	time ss = 0 ms	|	counter ss = 5	|	time cp = 0 ms		|	counter cp = 9
query = (0.98511,0.382213), 0.2				|	time ss = 0 ms	|	counter ss = 4	|	time cp = 0 ms		|	counter cp = 9
query = (0.202755,0.208855), 0.2			|	time ss = 0 ms	|	counter ss = 4	|	time cp = 0 ms		|	counter cp = 10
query = (0.851342,0.825494), 0.2			|	time ss = 0 ms	|	counter ss = 4	|	time cp = 0 ms		|	counter cp = 9
query = (0.0749349,0.247518), 0.2			|	time ss = 0 ms	|	counter ss = 4	|	time cp = 0 ms		|	counter cp = 10
query = (0.122532,0.656283), 0.2			|	time ss = 0 ms	|	counter ss = 6	|	time cp = 0 ms		|	counter cp = 10
query = (0.875877,0.513087), 0.2			|	time ss = 0 ms	|	counter ss = 4	|	time cp = 0 ms		|	counter cp = 9
query = (0.947117,0.447237), 0.2			|	time ss = 0 ms	|	counter ss = 5	|	time cp = 0 ms		|	counter cp = 9
query = (0.0103124,0.908109), 0.2			|	time ss = 0 ms	|	counter ss = 6	|	time cp = 0 ms		|	counter cp = 8
query = (0.463676,0.183552), 0.2			|	time ss = 0 ms	|	counter ss = 6	|	time cp = 0 ms		|	counter cp = 10
query = (0.457547,0.972772), 0.2			|	time ss = 0 ms	|	counter ss = 4	|	time cp = 0 ms		|	counter cp = 9
